"sent_id","per:title","org:founded_by","per:place_of_birth","per:children","per:alternate_names","per:cause_of_death","org:top_members_employees","per:employee_or_member_of","per:spouse","org:alternate_names","per:age","org:subsidiaries","per:place_of_death","per:schools_attended","org:place_of_headquarters","per:charges","per:origin","per:places_of_residence","none","per:title_cos","org:founded_by_cos","per:place_of_birth_cos","per:children_cos","per:alternate_names_cos","per:cause_of_death_cos","org:top_members_employees_cos","per:employee_or_member_of_cos","per:spouse_cos","org:alternate_names_cos","per:age_cos","org:subsidiaries_cos","per:place_of_death_cos","per:schools_attended_cos","org:place_of_headquarters_cos","per:charges_cos","per:origin_cos","per:places_of_residence_cos","none_cos","workers","max_cos","max_rel","seed_relation","seed_relation_cos","term1","b1","e1","term2","b2","e2","sentence"
"CONTEXT_NEG_1748",0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,1,"per:spouse","per:children",0,"Laurent Fignon","14","16","Valerie Fignon","1","3","`` Valerie Fignon , his wife , is sad to announce the death of Laurent Fignon today '' , said the hospital statement quoted by local medias ."
"CONTEXT_NEG_2989",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.554700196225229,0,0,0,0,0,0,0,0.832050294337844,5,0.832050294337844,"none","per:cause_of_death",0,"Don Meredith","3","5","age","24","25","Dallas Cowboys icon Don Meredith , one of the NFL franchise 's first stars , has died after suffering a brain hemorrhage at the age of 72 , the team said ."
"CONTEXT_NEG_466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,1,"none","per:employee_or_member_of",0,"Montcourt","3","4","Czech Republic","28","30","Last month , Montcourt achieved his highest career ranking of 104 after reaching the second round at Roland Garros , where he lost to Radek Stepanek of the Czech Republic in four sets ."
"CONTEXT_NEG_2081",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.076696498884737,0,0,0,0,0,0,0,0,0,0,0,0,0,0.997054485501581,14,0.997054485501581,"none","per:age",0,"Maria Kaczynska","6","8","dozens","9","10","Besides the president and his wife Maria Kaczynska , dozens of other senior Polish political figures and military top brass perished ."
"CONTEXT_NEG_2390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120385853085769,0,0,0.240771706171538,0.963086824686154,11,0.963086824686154,"none","per:place_of_death",0,"Merce Cunningham","19","21","London","24","25","The success of New York City Ballet , the Graham company and others ( notably Alvin Ailey 's and Merce Cunningham 's ) in London in the 1960s made a great impression back in the United States and in other countries ; Mason had worked hard to make it happen ."
"CONTEXT_NEG_3025",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.919145030018058,0,0,0,0,0,0,0,0,0,0,0,0.393919298579168,10,0.919145030018058,"org:top_members_employees","per:schools_attended",0,"Don Meredith","27","29","NFL","43","44","It reported the team 's massive out-of-town and out-of-state following , the league 's first Spanish-language network , a pervasive TV presence that included former Cowboys quarterback Don Meredith 's homey work on Monday Night Football , a decade of consistently leading the NFL in souvenir sales , a celebrity connection fostered by years of staging summer training camps just outside of Los Angeles ."
"CONTEXT_NEG_4427",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0.110431526074847,0,0,0,0,0,0,0,0,0,0,0,0.993883734673619,10,0.993883734673619,"none","org:alternate_names",0,"STX Finland","1","3","P&O Ferries","11","13","Shipbuilder STX Finland started the construction of a second ferry for P&O Ferries on Tuesday , in an overall deal valued at ( EURO ) 360 million ( $530 million ) , the company said ."
"CONTEXT_NEG_3027",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.995037190209989,0,0,0,0,0,0,0,0,0,0,0,0.0995037190209989,11,0.995037190209989,"org:top_members_employees","per:schools_attended",0,"Don Meredith","3","5","NFL","9","10","Dallas Cowboys icon Don Meredith , one of the NFL franchise 's first stars , has died after suffering a brain hemorrhage at the age of 72 , the team said ."
"CONTEXT_NEG_639",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0890870806374748,0,0,0,0.17817416127495,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979957887012223,14,0.979957887012223,"none","per:alternate_names",0.17817416127495,"Gadahn","10","11","Abu Yahiya","6","8","But three senior security officials said Abu Yahiya was not Gadahn ."
"CONTEXT_NEG_2489",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768221279597376,0,0,0.64018439966448,11,0.768221279597376,"per:charges","per:charges",0.768221279597376,"Goody","5","6","rape","8","9","Widower of British TV star Goody cleared of rape"
"CONTEXT_NEG_1049",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0.847998304005088,0,0,0,0,0,0,0,0,0,0,0,0.52999894000318,13,0.847998304005088,"org:top_members_employees","per:spouse",0,"Haig","0","1","Reagan","6","7","Haig served for 17 months before Reagan dismissed him with a one-page letter on June 24 , 1982 ."
"CONTEXT_NEG_3323",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,"org:alternate_names","org:subsidiaries",0,"United Steelworkers of America","6","10","USW","11","12","He 's just bowing to the United Steelworkers of America ( USW ) because they ca n't compete ."
"CONTEXT_NEG_2254",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,7,0.8,"per:title","per:title",0.8,"Koirala","4","5","broker","3","4","Nepal mourns peace broker Koirala"
"CONTEXT_NEG_902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,1,"none","per:children",0,"Haig","13","14","H.R. Haldeman","19","21","The next year , as the Watergate scandal deepened , Nixon turned to Haig and appointed him to succeed H.R. Haldeman as White House chief of staff ."
"CONTEXT_NEG_2179",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.08304547985374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99654575824488,13,0.99654575824488,"none","per:age",0,"Girija Prasad Koirala","6","9","one","10","11","Close aides say former Prime Minister Girija Prasad Koirala , one of Nepal 's most prominent politicians , has died at age 86 ."
"CONTEXT_NEG_2138",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.976187060183953,0,0,0,0,0,0.216930457818656,11,0.976187060183953,"per:place_of_death","per:origin",0,"Maria Kaczynska","9","11","Russia","19","20","A plane carrying the body of Polish first lady Maria Kaczynska landed in Warsaw Tuesday after flying in from Russia where she was killed in an air crash with her husband and 94 others , an AFP reporter said ."
"CONTEXT_NEG_443",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.964763821237732,0,0,0,0,0,0.263117405792109,14,0.964763821237732,"per:place_of_death","per:origin",0,"Mohammed Sayed Tantawi","6","9","Saudi Arabia","35","37","Egypt 's top cleric , Sheik Mohammed Sayed Tantawi , known for promoting the government agenda against female genital mutilation and the face veil , died of a heart attack Wednesday during a visit to Saudi Arabia ."
"CONTEXT_NEG_3585",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.393919298579168,0,0,0,0,0,0,0.919145030018058,10,0.919145030018058,"none","org:subsidiaries",0.393919298579168,"Berkshire Hathaway","7","9","Burlington Northern Santa Fe Corp","14","19","The announcement comes on the same day Berkshire Hathaway said it will buy the Burlington Northern Santa Fe Corp ."
"CONTEXT_NEG_3404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,"none","org:alternate_names",0,"A123 Systems Inc.","24","27","Fedex Corp.","14","16","Top executives with more than a dozen companies , including Nissan Motor Co. , Fedex Corp. , electric utility PG&E Corp. and battery developers A123 Systems Inc. and Johnson Controls-Saft , announced the formation of the Electrification Coalition to lay the groundwork for millions of electric cars to reach U.S. highways ."
"CONTEXT_NEG_3351",0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178885438199983,0.983869910099907,0,0,0,0,0,0,0,0,0,0,0,12,0.983869910099907,"per:employee_or_member_of","org:top_members_employees",0.178885438199983,"United Steelworkers","6","8","Leo Gerard","0","2","Leo Gerard , president of the United Steelworkers union , said in a separate statement that the union looks forward to working with Kirk and the Obama administration `` to make sure that today 's speech is followed by an integrated action plan . ''"
"CONTEXT_NEG_1913",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.722315118514615,0,0,0,0.240771706171538,0.601929265428846,0.240771706171538,15,0.722315118514615,"per:place_of_death","per:places_of_residence",0.601929265428846,"Edwards","37","38","Chapel Hill","40","42","-- Elizabeth Edwards , 61 , who captured Americans ' sympathy and admiration for her grace in coping with the death of a child , breast cancer and the infidelity of her husband , presidential candidate John Edwards , in Chapel Hill , North Carolina after a six-year battle with the disease ."
"CONTEXT_NEG_1172",0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.983078304622849,0,0,0,0,0,0,0,0,0.163846384103808,0.0819231920519041,14,0.983078304622849,"per:spouse","per:children",0,"Joyce Brabner","21","23","Pekar","14","15","Capt. Michael Cannon of the Cleveland Heights Police Department , which was summoned to Pekar 's home by his wife , Joyce Brabner , told The Associated Press that Pekar had suffered from prostate cancer , asthma , high blood pressure and depression ."
