"sent_id","per:title","org:founded_by","per:place_of_birth","per:children","per:alternate_names","per:cause_of_death","org:top_members_employees","per:employee_or_member_of","per:spouse","org:alternate_names","per:age","org:subsidiaries","per:place_of_death","per:schools_attended","org:place_of_headquarters","per:charges","per:origin","per:places_of_residence","none","per:title_cos","org:founded_by_cos","per:place_of_birth_cos","per:children_cos","per:alternate_names_cos","per:cause_of_death_cos","org:top_members_employees_cos","per:employee_or_member_of_cos","per:spouse_cos","org:alternate_names_cos","per:age_cos","org:subsidiaries_cos","per:place_of_death_cos","per:schools_attended_cos","org:place_of_headquarters_cos","per:charges_cos","per:origin_cos","per:places_of_residence_cos","none_cos","max_cos","max_rel","seed_relation","seed_relation_cos","term1","b1","e1","term2","b2","e2","sentence"
"CONTEXT_POS_551",12,1,1,0,0,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0.966987556830456,0.080582296402538,0.080582296402538,0,0,0.080582296402538,0.080582296402538,0,0,0,0.161164592805076,0,0.080582296402538,0,0,0.080582296402538,0,0,0,0.966987556830456,"per:title","per:title",0.966987556830456,"Blake Edwards","2","4","director","1","2","Oscar-winning director Blake Edwards , who made the `` Pink Panther '' movies and the romantic comedy blockbuster `` 10, '' has died aged 88 , his agent said Thursday ."
"CONTEXT_POS_360",1,0,0,0,11,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0.0883883476483184,0,0,0,0.972271824131503,0,0,0,0,0.0883883476483184,0,0,0,0,0.0883883476483184,0,0,0,0.176776695296637,0.972271824131503,"per:alternate_names","per:alternate_names",0.972271824131503,"Penner","4","5","Christine Daniels","9","11","After his vacation , Penner did indeed return as Christine Daniels , not only continuing to report on sports for the Times but also authoring a blog called `` Woman in Transition, '' detailing his experiences ."
"CONTEXT_POS_824",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0.870062840141097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966736489045664,0,0,0.483368244522832,0.870062840141097,"per:title","per:title",0.870062840141097,"Dominick Dunne","0","2","reporter","11","12","Dominick Dunne , the author , television personality and Vanity Fair reporter who covered the trials of socialite Claus von Bulow , former football star O.J. Simpson , Kennedy clan member William Kennedy Smith and music producer Phil Spector , returns to the Manhattan playgrounds of the staggeringly wealthy in his new -- and last -- novel `` Too Much Money, '' which was in the last stages of editing when he died in August at 83 ."
"CONTEXT_POS_147",0,0,0,0,0,0,6,0,0,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0.692820323027551,0,0,0,0,0.115470053837925,0.115470053837925,0.115470053837925,0,0,0,0,0.692820323027551,0.692820323027551,"org:top_members_employees,none","per:employee_or_member_of",0,"Mohammed Sayed Tantawi","13","16","Al-Azhar University","5","7","Tayeb , the president of Al-Azhar University since 2003 , succeeds Grand Imam Mohammed Sayed Tantawi , who died of a heart attack in Saudi Arabia on March 10 ."
"CONTEXT_POS_967",0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"org:alternate_names","org:alternate_names",1,"InterContinental Hotels Group","0","3","IHG","4","5","InterContinental Hotels Group ( IHG ) franchises , leases , manages or owns more than 650,000 rooms in more than 4,500 hotels across the world ."
"CONTEXT_POS_1168",1,2,0,0,0,1,0,0,0,0,1,12,0,1,2,0,0,1,0,0.0798086884467622,0.159617376893524,0,0,0,0.0798086884467622,0,0,0,0,0.0798086884467622,0.957704261361147,0,0.0798086884467622,0.159617376893524,0,0,0.0798086884467622,0,0.957704261361147,"org:subsidiaries","org:subsidiaries",0.957704261361147,"Arcandor","10","11","Kardstadt","15","16","German Finance Minister Peer Steinbrueck said Monday the retail group Arcandor , which owns the Kardstadt chain and a majority share of Thomas Cook , could go bust , and its shares plunged a short time later ."
"CONTEXT_POS_1024",0,0,0,0,0,0,0,0,0,1,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0764719112901873,0,0.994134846772434,0,0,0.0764719112901873,0,0,0,0,0.994134846772434,"org:subsidiaries","org:subsidiaries",0.994134846772434,"SouthGobi Energy Resources","14","17","Ivanhoe Mines","23","25","China 's sovereign wealth fund has said it will invest 500 million dollars in SouthGobi Energy Resources , a unit of Canada 's Ivanhoe Mines with coal operations in Mongolia ."
"CONTEXT_POS_231",1,0,0,12,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0.0816496580927726,0,0,0.979795897113271,0,0,0,0,0,0,0,0,0,0,0.0816496580927726,0.163299316185545,0,0,0,0.979795897113271,"per:children","per:children",0.979795897113271,"Anthony Marshall","0","2","Brooke Astor","7","9","Anthony Marshall , son of millionaire philanthropist Brooke Astor , was found guilty Thursday of defrauding his late mother while she suffered from dementia in New York 's biggest society trial in years ."
"CONTEXT_POS_151",2,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0.150329205600566,0,0,0,0,0,0.977139836403678,0,0,0.150329205600566,0,0,0,0,0,0,0,0,0,0.977139836403678,"org:top_members_employees","per:schools_attended",0,"Tantawi","0","1","Al-Azhar","5","6","Tantawi was appointed head of Al-Azhar , the 10th century university that has trained the majority of Sunni Muslim clerics from Africa and Asia , by Egyptian President Hosni Mubarak in 1996 ."
"CONTEXT_POS_534",0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0.152057184253941,0,0,0,0,0,0,0.988371697650617,0,0,0,0,0,0,0.988371697650617,"per:place_of_death","per:place_of_death",0.988371697650617,"Edwards","0","1","Santa Monica","15","17","Edwards died from complications of pneumonia late Wednesday at St. John 's Health Center in Santa Monica , said publicist Gene Schwam ."
"CONTEXT_POS_1113",1,1,0,0,0,0,4,0,0,1,1,7,0,0,1,0,0,1,1,0.117851130197758,0.117851130197758,0,0,0,0,0.471404520791032,0,0,0.117851130197758,0.117851130197758,0.824957911384306,0,0,0.117851130197758,0,0,0.117851130197758,0.117851130197758,0.824957911384306,"org:subsidiaries","org:subsidiaries",0.824957911384306,"State-owned Assets Supervision and Administration Commission","44","50","Cabinet","42","43","The 136 banks , airlines , oil producers and other companies controlled by the central government reported total profit of 316 billion yuan ( $46 billion ) from January to June , the Xinhua News Agency said , citing the director of Cabinet 's State-owned Assets Supervision and Administration Commission ."
"CONTEXT_POS_916",0,0,0,0,0,0,1,0,0,1,0,3,0,0,8,0,0,1,1,0,0,0,0,0,0,0.113960576459638,0,0,0.113960576459638,0,0.341881729378914,0,0,0.911684611677104,0,0,0.113960576459638,0.113960576459638,0.911684611677104,"org:place_of_headquarters","org:place_of_headquarters",0.911684611677104,"Election Complaints Commission","10","13","Afghanistan","8","9","The United Nations appointed two foreign members of Afghanistan 's Election Complaints Commission ( ECC ) here on Saturday ."
"CONTEXT_POS_1137",0,0,0,0,0,0,1,0,0,1,0,3,0,0,8,0,0,0,2,0,0,0,0,0,0,0.112508790092602,0,0,0.112508790092602,0,0.337526370277807,0,0,0.900070320740819,0,0,0,0.225017580185205,0.900070320740819,"org:place_of_headquarters","org:place_of_headquarters",0.900070320740819,"Rosoboronexport","7","8","Russia","2","3","Meanwhile , Russia 's state-owned arms exporter Rosoboronexport and the Vietnamese Defense Ministry 's General Export-Import Company clinched a major arms deal ."
"CONTEXT_POS_33",1,2,0,1,0,0,11,0,0,1,1,0,0,1,2,0,0,1,0,0.086066296582387,0.172132593164774,0,0.086066296582387,0,0,0.946729262406258,0,0,0.086066296582387,0.086066296582387,0,0,0.086066296582387,0.172132593164774,0,0,0.086066296582387,0,0.946729262406258,"org:top_members_employees","per:employee_or_member_of",0,"Bolland","0","1","Morrisons","11","12","Bolland , 50 , currently chief executive of British supermarket chain Morrisons , will replace Stuart Rose at the start of 2010 , Marks and Spencer said in a statement ."
"CONTEXT_POS_396",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,2,0.0877058019307029,0,0,0,0,0.175411603861406,0,0,0,0,0,0,0,0,0,0.964763821237732,0,0,0.175411603861406,0.964763821237732,"per:charges","per:charges",0.964763821237732,"Nancy Kissel","13","15","murder","32","33","Hong Kong 's top court on Thursday quashed the conviction of American woman Nancy Kissel for drugging and bludgeoning her banker husband to death , one of the city 's most sensational murder cases ."
"CONTEXT_POS_36",4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0.398014876083996,0,0,0,0,0,0.89553347118899,0,0,0,0,0,0,0,0,0,0,0,0.199007438041998,0.89553347118899,"org:top_members_employees","per:title",0.398014876083996,"Marc Bolland","0","2","CEO","4","5","Marc Bolland , formerly CEO at Morrisons supermarkets , joined Marks and Spencer as chief executive on May 1 , and is expected to give early attention to improving the performance of the company 's food offering ."
"CONTEXT_POS_864",0,0,0,0,0,1,0,0,0,1,0,1,2,0,0,2,7,2,3,0,0,0,0,0,0.117041147196131,0,0,0,0.117041147196131,0,0.117041147196131,0.234082294392261,0,0,0.234082294392261,0.819288030372914,0.234082294392261,0.351123441588392,0.819288030372914,"per:origin","per:origin",0.819288030372914,"Orlando Zapata","17","19","Cuban","14","15","But the EU Commission last month voiced deep regret at the death of leading Cuban political prisoner Orlando Zapata , who died after a long hunger strike , and called on Havana to improve human rights ."
