_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,b1val,b2val,e1val,e2val,factor1,factor2,relations,rellist,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b1val_gold,b2,b2val_gold,e1,e1val_gold,e2,e2val_gold,factor1_gold,factor2_gold,relation,relations_gold,rellist_gold,sent_id,sentence,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1_gold,step_2b_if_you_selected_none_in_step_1_explain_why_gold,term1,term2
917047426,3/26/2016 03:06:55,1936666514,3/26/2016 03:05:59,false,neodev,0.9655,30941227,USA,DE,Wilmington,104.237.225.51,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,per:places_of_residence,per:places_of_residence,his,N/A,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 03:28:56,1936678735,3/26/2016 03:26:46,false,prodege,0.9143,36812057,USA,KY,Louisville,99.190.186.127,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,PERVEZ MUSHARRAF is going to be visiting Pakistan.,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 05:00:49,1936726590,3/26/2016 05:00:08,false,instagc,0.9167,28301350,GBR,"","",146.90.84.33,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,per:employee_or_member_of,per:employee_or_member_of,said PAKISTAN,N/A,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 05:29:23,1936742588,3/26/2016 05:27:57,false,instagc,0.903,23503585,CAN,SK,Regina,207.47.131.191,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,per:origin per:top_member_employee_of_org,"per:top_member_employee_of_org
per:origin",said PAKISTAN 's Interior Minister,N/A,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 05:32:17,1936744450,3/26/2016 05:32:05,false,zoombucks,0.906,4688131,CAN,BC,Burnaby,75.157.35.92,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,No relation,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 06:10:42,1936764739,3/26/2016 06:09:52,false,neodev,0.9209,11598752,CAN,ON,Toronto,38.121.66.142,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,per:top_member_employee_of_org,per:top_member_employee_of_org,Interior Minister,N/A,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 06:16:42,1936768290,3/26/2016 06:15:57,false,clixsense,0.9228,8108990,USA,WA,Woodinville,76.22.112.104,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,per:employee_or_member_of per:origin,"per:employee_or_member_of
per:origin",counterpart,N/A,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 07:20:15,1936816031,3/26/2016 07:19:48,false,clixsense,0.9234,21490235,GBR,N7,Woking,82.4.137.133,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,he is only going to attend this place nothing more,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 08:50:15,1936880723,3/26/2016 08:49:47,false,neodev,0.8846,32695853,USA,DE,Wilmington,104.237.225.59,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,per:charges,per:charges,Afghan,N/A,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 09:39:55,1936907056,3/26/2016 09:39:33,false,prodege,0.9141,4316379,CAN,ON,Windsor,198.91.218.68,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,no connection,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 09:41:28,1936907845,3/26/2016 09:41:02,false,instagc,0.9176,18960682,GBR,"","",79.75.181.61,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,no relationship expressed,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 11:09:15,1936949809,3/26/2016 10:54:32,false,clixsense,0.915,6488338,USA,HI,Honolulu,72.130.214.250,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,PERVEZ MUSHARRAF to attend said PAKISTAN,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 11:19:50,1936955035,3/26/2016 11:18:54,false,instagc,0.9155,18531561,CAN,ON,Mississauga,99.229.95.165,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,"A member of parliament from Pakistan mentioned that Musharraf is to attend, no other relationship is stated by this sentence.",0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
917047426,3/26/2016 12:36:44,1937000547,3/26/2016 12:33:49,false,memolink,0.9165,33432621,USA,"","",72.169.158.26,0,13,2,14,PERVEZ MUSHARRAF,PAKISTAN,NONE,NONE,N/A,pervez musharraf is going to attend an even in pakistan,0,,13,,2,,14,,,,"per:origin,per:employee_or_member_of",,,UAD-A-1595,"Pervez Musharraf and his Afghan counterpart Hamid Karzai are to attend , said Pakistan 's Interior Minister Aftab Khan Sherpao .",,,Pervez Musharraf,Pakistan
