_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,b1val,b2val,e1val,e2val,factor1,factor2,relations,rellist,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1,step_2b_if_you_selected_none_in_step_1_explain_why,b1,b1val_gold,b2,b2val_gold,e1,e1val_gold,e2,e2val_gold,factor1_gold,factor2_gold,relation,relations_gold,rellist_gold,sent_id,sentence,step_2a_copy__paste_only_the_words_from_the_sentence_that_express_the_relation_you_selected_in_step1_gold,step_2b_if_you_selected_none_in_step_1_explain_why_gold,term1,term2
1020756307,8/19/2016 05:47:47,2091264137,8/19/2016 05:47:34,false,prodege,0.9389,27934334,GBR,D2,Derby,86.130.152.24,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:top_member_employee_of_org,per:top_member_employee_of_org,chief executive,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 05:52:01,2091270007,8/19/2016 05:51:10,false,prodege,0.9328,15871675,USA,WA,Yelm,216.227.112.82,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:top_member_employee_of_org,per:top_member_employee_of_org,COUNTRYWIDE FINANCIAL CORP. chief executive ANGELO MOZILO,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 06:20:56,2091308862,8/19/2016 06:20:33,false,neodev,0.9163,24696098,GBR,G6,Hull,178.78.102.168,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:employee_or_member_of,per:employee_or_member_of,chief executive ANGELO MOZILO,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 06:29:42,2091320081,8/19/2016 06:29:24,false,clixsense,0.9377,28351359,GBR,M5,Southend-on-sea,86.158.169.127,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:top_member_employee_of_org,per:top_member_employee_of_org,"COUNTRYWIDE FINANCIAL CORP. chief executive , ANGELO MOZILO",N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 06:52:53,2091346779,8/19/2016 06:52:04,false,elite,0.8911,39107980,USA,NY,Buffalo,192.3.224.139,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:employee_or_member_of per:top_member_employee_of_org,"per:employee_or_member_of
per:top_member_employee_of_org",chief executive,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 07:04:05,2091359531,8/19/2016 07:03:41,false,elite,0.9089,35496876,GBR,"","",188.227.179.179,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:title,per:title,COUNTRYWIDE FINANCIAL CORP.,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 07:13:27,2091368488,8/19/2016 07:13:15,false,neodev,0.9507,20306047,GBR,I9,Norwich,92.14.17.197,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:top_member_employee_of_org,per:top_member_employee_of_org,its chief executive,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 07:13:56,2091368950,8/19/2016 07:12:58,false,clixsense,0.9259,21490235,GBR,N7,Woking,82.4.137.133,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:top_member_employee_of_org,per:top_member_employee_of_org,COUNTRYWIDE FINANCIAL CORP. chief executive ANGELO MOZILO,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 07:44:12,2091395689,8/19/2016 07:26:54,false,clixsense,0.9016,6488338,USA,HI,Kapolei,76.172.50.185,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:top_member_employee_of_org per:employee_or_member_of,"per:employee_or_member_of
per:top_member_employee_of_org",chief executive,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
1020756307,8/19/2016 07:49:12,2091399891,8/19/2016 07:48:43,false,elite,0.9062,39201426,USA,DE,Wilmington,104.237.225.45,21,2,23,5,ANGELO MOZILO,COUNTRYWIDE FINANCIAL CORP.,per:top_member_employee_of_org per:employee_or_member_of,"per:employee_or_member_of
per:top_member_employee_of_org",chief executive,N/A,21,,2,,23,,5,,,,"per:founded_org,per:top_member_employee_of_org",,,UAD-A-1412,"Mortgage lender Countrywide Financial Corp. rose $ 1.51 , or 7.7 percent , to $ 21.39 after its chief executive , Angelo Mozilo , late Tuesday gave a positive forecast for his company .",,,Angelo Mozilo,Countrywide Financial Corp.
